seed,epoch,train_loss,train_accuracy,train_f1,train_kappa,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_roc_auc,train_pr_auc,train_specificity,test_loss,test_accuracy,test_f1,test_kappa,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_roc_auc,test_pr_auc,test_specificity,lr
42,0,0.43871887683757627,0.7979888407728182,0.8520996875238168,0.5336733371064688,0.6987611096148667,0.8424050632911393,0.6649580316524636,0.8620200462606014,0.8524237414176535,0.9140811721733688,0.6649580316524636,0.5287075327201323,0.7483398732266827,0.8190548532363952,0.40892174495181566,0.5300962183933766,0.8593874530342708,0.6573251942286349,0.7823383084577115,0.8127362718179358,0.922231866403858,0.6573251942286349,4.8096988312782174e-05
42,1,0.3807579500294636,0.8034851765489673,0.8453206168166101,0.5788351394995144,0.6586909539981476,0.9018812504370936,0.8202088806304864,0.7954356206630686,0.8829007494660063,0.9401283468944706,0.8202088806304864,0.5218299409970936,0.7264563839420465,0.7883705995679842,0.4187025257897701,0.49818055796222493,0.9025531346076727,0.7977247502774695,0.6998341625207297,0.8263431904020409,0.9239274040728197,0.7977247502774695,4.267766952966369e-05
42,2,0.3619222184105667,0.793783311125916,0.8357842730905052,0.5628639826529913,0.6415590863952334,0.9036999856589704,0.8278977381943999,0.7773631457208944,0.881072714193891,0.9305973801123348,0.8278977381943999,0.5059662676248846,0.7297766374886809,0.7913048545952561,0.4244955651313531,0.5020031353422749,0.9038743176674211,0.7996670366259712,0.7036691542288557,0.8207492239597426,0.9235599545171987,0.7996670366259712,3.456708580912725e-05
42,3,0.3365906381355495,0.8303422718187875,0.8693923997884379,0.6284417361576298,0.7064326837909655,0.9050320341697811,0.8176459281091818,0.8364533538936006,0.8976180695859394,0.9436242308457763,0.8176459281091818,0.5257297060903339,0.7490944763054633,0.8102277267279265,0.451072446143735,0.5259341885108756,0.9015623015368983,0.7849611542730299,0.7356965174129353,0.8285045217631781,0.9219061180276817,0.7849611542730299,2.5e-05
42,4,0.3317669778683804,0.8039432045303131,0.8416858598254964,0.5896887450457519,0.6475636502336226,0.9251607657624362,0.8702505286089576,0.7720277563608327,0.902774010772206,0.9480127246410923,0.8702505286089576,0.5487064587818772,0.705629338967703,0.7687199857710322,0.3862051114853,0.47538538040775735,0.8980468208893199,0.7957824639289678,0.6719527363184079,0.8213768951211387,0.9191639928761568,0.7957824639289678,1.5432914190872757e-05
42,5,0.3139576335666906,0.8367963024650233,0.8760534429599178,0.6376476089792653,0.7256565187078782,0.8988643737832577,0.8002819247773435,0.8543716268311488,0.9016048914255158,0.9472777588492457,0.8002819247773435,0.5567412511964389,0.7441895562933897,0.8108258928571429,0.4230070929972578,0.5214859437751004,0.8782640232108317,0.7205882352941176,0.7530058043117744,0.811109776680784,0.9155630449189304,0.7205882352941176,7.3223304703363135e-06
42,6,0.308690998103943,0.8370461359093937,0.87446873346057,0.643362642866076,0.7148459074339998,0.9109804183653011,0.8293073620811174,0.8407710100231303,0.9067660444755257,0.9501198888947763,0.8293073620811174,0.5557394301549398,0.7349079384243887,0.800839049832757,0.41483626749755387,0.5086485459038206,0.88386935302215,0.7425083240843507,0.7320688225538972,0.8151121042263708,0.9176088578618314,0.7425083240843507,1.9030116872178316e-06
42,7,0.30635200989049294,0.8389615256495669,0.8763962351587593,0.6462679027596284,0.7201588544579931,0.9093984214366253,0.8249503427948998,0.8457054741711643,0.9076200520702239,0.9507767811758951,0.8249503427948998,0.5617238050300822,0.7376245095079987,0.803836389280677,0.41702399309455407,0.5122705314009662,0.8820106475176427,0.7355715871254163,0.738391376451078,0.8148925703060723,0.9176127937589399,0.7355715871254163,0.0
7,0,0.47688699990484706,0.7026324664246464,0.7319193075327277,0.4317042528084972,0.5239446488001401,0.9359220636663008,0.9143485969309776,0.600933865852226,0.8403781275839624,0.9195509205973321,0.9143485969309776,0.6045136808629233,0.5806896551724138,0.6381526741787018,0.21977204316260712,0.36447410231966954,0.877755948482864,0.8037841625788367,0.5013090637077671,0.7904995270386503,0.9125406807762766,0.8037841625788367,4.8096988312782174e-05
7,1,0.3869802693230188,0.7561348171953421,0.7900677971890636,0.5169753042309528,0.5784434836318715,0.9439706182411752,0.9160604022742557,0.6793139903676729,0.8930942512133877,0.9457584194443146,0.9160604022742557,0.5590285127175475,0.6582988505747126,0.7247815138498,0.3139901699000449,0.42009640341119764,0.89272030651341,0.7939733707077785,0.6100236878194739,0.8030520706551051,0.9191534567612274,0.7939733707077785,4.267766952966369e-05
7,2,0.3684970898721442,0.7659743299807574,0.8017677404177379,0.53028376147119,0.5913827655310622,0.9370752975372167,0.9020602800024454,0.700604957124398,0.8904626873093215,0.9429863890069452,0.9020602800024454,0.5640053826883301,0.6582988505747126,0.7257969303423849,0.31096831905255506,0.4193488023952096,0.8891701319833665,0.7852137351086195,0.6131405061713003,0.7987135119295731,0.9171677148002222,0.7852137351086195,3.456708580912725e-05
7,3,0.3301165738203694,0.8061060524906267,0.8441744786684523,0.5925345250833032,0.6514238395362746,0.9233747209821429,0.8656844164577857,0.7774873722541995,0.9007718612693096,0.9440750480588866,0.8656844164577857,0.557373342752657,0.6491954022988505,0.7292982331654012,0.25720871772370957,0.39995835935873414,0.8463438735177866,0.6730903994393833,0.6406931804014462,0.7712942908187661,0.9057081800970088,0.6730903994393833,2.5e-05
7,4,0.31502199189542907,0.8404848340574104,0.8787929033327806,0.6460459486758972,0.7294701986754967,0.9027842299235034,0.8080943938375008,0.85604369787384,0.9067421005433784,0.9509401295902444,0.8080943938375008,0.562401034562214,0.7513563218390804,0.8259526261585994,0.392417554558139,0.5223214285714286,0.8537591483699268,0.614926419060967,0.7999002618127415,0.7884419464078483,0.9146040882525075,0.614926419060967,1.5432914190872757e-05
7,5,0.30367212261159254,0.8385605745005852,0.8776755651755652,0.640738055450869,0.7291585345452518,0.8989715482202242,0.7994130953108761,0.8573652061552919,0.9050517911531124,0.9495586586306521,0.7994130953108761,0.6020744205495404,0.7389425287356322,0.8169686029269551,0.363781435883476,0.5022156573116692,0.8459279038718291,0.5956552207428171,0.7899264430868969,0.7603892270526378,0.898156062966203,0.5956552207428171,7.3223304703363135e-06
7,6,0.296723504599564,0.8354063758455831,0.871298493803031,0.6450551976550503,0.7015604681404422,0.923393062633569,0.8575533410772147,0.8247680018794784,0.9114663995148022,0.9519619779444758,0.8575533410772147,0.6063528654675289,0.663264367816092,0.7464691221268347,0.2630697799182372,0.40925426774483376,0.8393274170948155,0.6384022424667134,0.6721107093878569,0.7540976004910726,0.8965368820261093,0.6384022424667134,1.9030116872178316e-06
7,7,0.2926918071845696,0.8443730286258406,0.8806934833852939,0.6577723948947372,0.7275205816315621,0.9133205059458095,0.8319985327382772,0.8503171619875485,0.9111105744354204,0.9523439563641753,0.8319985327382772,0.614301243422943,0.7235862068965517,0.8029885961462839,0.3440276147613808,0.47910940076965364,0.8464833494541937,0.6107217939733707,0.7637451689315546,0.7519136653111091,0.8948519703063512,0.6107217939733707,0.0
2021,0,0.47583736641634555,0.7267020762916465,0.7755971850530281,0.44595858808975297,0.5263924735658979,0.9140643252083172,0.8514004847831942,0.6735624928268105,0.8385359152034648,0.9292227121678417,0.8514004847831942,0.5837680150421594,0.7137305699481865,0.7174635643058042,0.45707876221136823,0.5738539898132428,0.932845744680851,0.930488644184446,0.5828832571665974,0.8201346414524257,0.900419659864771,0.930488644184446,4.8096988312782174e-05
2021,1,0.37524086259281236,0.7766578142604217,0.8276215469184304,0.5165662615133757,0.5930445998908568,0.9019189765458422,0.8048747643415028,0.7646333065534259,0.8753043341071595,0.9443455323093679,0.8048747643415028,0.5236135391363254,0.7453367875647668,0.7703807521607101,0.49430005021841283,0.6183282980866063,0.8799359658484525,0.8451479697178252,0.6850851682592439,0.8518414260311531,0.9125903054799376,0.8451479697178252,4.267766952966369e-05
2021,2,0.44712438094776935,0.6926605504587156,0.7296952967406306,0.41550985476850055,0.49243991156122957,0.9518511679438648,0.9297737678427148,0.5916159761276254,0.8825918667074026,0.9475960236884868,0.9297737678427148,0.6599847149871464,0.6189982728842832,0.5750337121941822,0.31488109045387,0.49685235776220454,0.9443214172730149,0.9596237669190181,0.41337764852513503,0.8302211702574434,0.8949520170499679,0.9596237669190181,3.456708580912725e-05
2021,3,0.33754917493722103,0.8206985353291486,0.8682241608753511,0.5886019750758591,0.6754696915987238,0.8956922325950333,0.7697953137624562,0.8423906805922186,0.8865460280058008,0.9478615903508956,0.7697953137624562,0.5209634282169069,0.7675302245250432,0.8051816471269359,0.5184731153915272,0.6672687136263296,0.8432620888282553,0.7627896306492314,0.7703919124774962,0.8447414421353131,0.904472026378196,0.7627896306492314,2.5e-05
2021,4,0.3588129094179796,0.7595766940286496,0.8020605578745114,0.5138958417231108,0.5599983460138935,0.9487068965517241,0.9118637220576353,0.6946803626764605,0.9019120508470599,0.956079654867877,0.9118637220576353,0.5887816344199482,0.6704663212435233,0.6591639871382636,0.3883221190561319,0.5357001972386588,0.9283018867924528,0.9346180316586373,0.5110095554632322,0.8453202260910966,0.9053899029667025,0.9346180316586373,1.5432914190872757e-05
2021,5,0.31402838989667287,0.7988894253983583,0.8450136442570082,0.5639463546535733,0.621036889332004,0.9192416677911213,0.838809587934285,0.7818776540801102,0.8998024617984481,0.9542122752744274,0.838809587934285,0.5366630953011611,0.7299654576856649,0.7525128611001187,0.46846200810072036,0.5999026921829387,0.8780938308090137,0.848589125946318,0.6583575682038498,0.8410605502755578,0.9020988543141425,0.848589125946318,7.3223304703363135e-06
2021,6,0.3072327246378596,0.8236359246740705,0.8669923830910691,0.6078979743741123,0.6631635388739946,0.9200103046306434,0.8327497980070024,0.8197520945713302,0.9039729566776602,0.9567156977122362,0.8327497980070024,0.5458015945803457,0.7596718480138169,0.7849470674600109,0.5207756183256915,0.6344709897610922,0.887937062937063,0.8529479238357421,0.7033651848774408,0.8451467942316926,0.9049262477100046,0.8529479238357421,1.9030116872178316e-06
2021,7,0.30370365492293955,0.8296112988894254,0.8727862647019062,0.6165797861878328,0.6774731691041539,0.9158601557327953,0.8202935631564773,0.833582003902215,0.9040254370688301,0.9569579805672614,0.8202935631564773,0.5518752623267086,0.7564766839378239,0.7859095050106286,0.5095830266312473,0.6367027891277314,0.869769786590489,0.82220692819454,0.7167982273923279,0.8419550793375303,0.9030509477044676,0.82220692819454,0.0
123456,0,0.4321603045599269,0.7436764705882353,0.7844079656494619,0.4758811562807794,0.597420814479638,0.8704313725490196,0.799842491064397,0.7138584247258225,0.8292252963202877,0.9060507755342507,0.799842491064397,0.48017131438130045,0.776965799473838,0.8479019236519486,0.44355739817304163,0.46215745976511524,0.9362755888179617,0.7858727810650887,0.7747723132969034,0.8512571943609143,0.9582086322332518,0.7858727810650887,4.8096988312782174e-05
